1508799600, 58.81, rain, partly-cloudy-night,0.93, 8.17
1508803200, 57.77, rain, clear-night,0.93, 6.69
1508806800, 57.6, rain, clear-night,0.93, 7.15
1508810400, 57.65, rain, clear-night,0.93, 6.82
1508814000, 57.89, rain, clear-night,0.93, 6.84
1508817600, 58.79, rain, clear-night,0.93, 8.31
1508821200, 59.53, rain, clear-night,0.93, 8.2
1508824800, 59.62, rain, cloudy,0.93, 9.39
1508828400, 59.85, rain, cloudy,0.91, 10.09
1508832000, 60.81, rain, cloudy,0.91, 11.01
1508835600, 62.55, rain, cloudy,0.89, 13.09
1508839200, 63.66, rain, partly-cloudy-day,0.85, 14.64
1508842800, 64.39, rain, partly-cloudy-day,0.82, 15.38
1508846400, 64.54, rain, partly-cloudy-day,0.82, 16.15
1508850000, 64.62, rain, partly-cloudy-day,0.8, 16.63
1508853600, 64.51, rain, partly-cloudy-day,0.8, 15.25
1508857200, 64.36, rain, partly-cloudy-day,0.8, 14.88
1508860800, 63.48, rain, cloudy,0.82, 14.07
1508864400, 63.25, rain, cloudy,0.83, 14.8
1508868000, 62.39, rain, cloudy,0.85, 13.97
1508871600, 61.48, rain, cloudy,0.86, 13.44
1508875200, 61.4, rain, clear-night,0.85, 13.88
1508878800, 60.3, rain, clear-night,0.87, 13.09
1508882400, 59.64, rain, clear-night,0.88, 12.55
1508886000, 59.62, rain, clear-night,0.87, 14.2
1508889600, 59.55, rain, clear-night,0.85, 12.77
1508893200, 58.95, rain, clear-night,0.84, 13.24
1508896800, 58.71, rain, clear-night,0.84, 12.9
1508900400, 58.54, rain, clear-night,0.84, 12.37
1508904000, 57.79, rain, clear-night,0.84, 12.74
1508907600, 57.84, rain, clear-night,0.84, 12.96
1508911200, 58.56, rain, cloudy,0.85, 11.77
1508914800, 58.62, rain, partly-cloudy-day,0.88, 9.99
1508918400, 59.32, rain, partly-cloudy-day,0.88, 8.96
1508922000, 60.01, rain, clear-day,0.86, 8.56
1508925600, 62.25, rain, partly-cloudy-day,0.78, 7.94
1508929200, 63.61, rain, clear-day,0.68, 8.87
1508932800, 63.65, rain, clear-day,0.66, 8.19
1508936400, 64.52, rain, clear-day,0.6, 8.13
1508940000, 63.99, rain, clear-day,0.59, 7.46
1508943600, 65.09, rain, clear-day,0.56, 7.43
1508947200, 62.49, rain, clear-day,0.6, 5.59
1508950800, 58.93, rain, clear-night,0.7, 3.98
1508954400, 56.25, rain, clear-night,0.78, 3.95
1508958000, 54.96, rain, clear-night,0.79, 3.87
1508961600, 53.22, rain, clear-night,0.86, 4.04
1508965200, 52.75, rain, clear-night,0.88, 3.48
1508968800, 53.02, rain, clear-night,0.92, 2.84
1508972400, 51.92, rain, clear-night,0.93, 3.54
1508976000, 50.47, rain, clear-night,0.95, 3.33
1508979600, 50.27, rain, clear-night,0.98, 3.31
1508983200, 49.38, rain, clear-night,0.98, 1.96
1508986800, 49.17, rain, clear-night,0.99, 1.55
1508990400, 49.46, rain, clear-night,0.96, 2.92
1508994000, 51.25, rain, clear-night,0.99, 2.06
1508997600, 52.28, rain, fog,0.99, 2.94
1509001200, 53.2, rain, fog,0.97, 2.89
1509004800, 54.27, rain, fog,0.99, 1.82
1509008400, 55.45, rain, cloudy,0.97, 2.36
1509012000, 56.51, rain, cloudy,0.97, 3.09
1509015600, 57.58, rain, cloudy,0.95, 4.79
1509019200, 58.72, rain, cloudy,0.93, 4.43
1509022800, 59.04, rain, clear-day,0.96, 5.06
1509026400, 59.86, rain, cloudy,0.95, 5
1509030000, 59.62, rain, cloudy,0.96, 4.95
1509033600, 59.28, rain, cloudy,0.94, 4.41
1509037200, 58.23, rain, partly-cloudy-night,0.93, 3.39
1509040800, 57.49, rain, partly-cloudy-night,0.94, 3.01
1509044400, 57.25, rain, partly-cloudy-night,0.92, 2.12
1509048000, 56.03, rain, clear-night,0.96, 3.24
1509051600, 56.11, rain, clear-night,0.95, 4.36
1509055200, 56.59, rain, clear-night,0.93, 5.33
1509058800, 57.27, rain, clear-night,0.91, 5.34
1509062400, 56.48, rain, clear-night,0.91, 5.82
1509066000, 56.28, rain, clear-night,0.86, 6.79
1509069600, 55.21, rain, clear-night,0.85, 7.52
1509073200, 53.98, rain, clear-night,0.83, 6.7
1509076800, 51.97, rain, clear-night,0.83, 6.02
1509080400, 50.75, rain, clear-night,0.86, 6.23
1509084000, 46.61, rain, clear-night,0.89, 5.61
1509087600, 46.14, rain, clear-day,0.88, 4.53
1509091200, 46.53, rain, clear-day,0.88, 4.75
1509094800, 50.7, rain, clear-day,0.84, 5.64
1509098400, 52.94, rain, clear-day,0.78, 6.5
1509102000, 55.26, rain, clear-day,0.71, 6.15
1509105600, 56.45, rain, clear-day,0.64, 5.96
1509109200, 57.27, rain, clear-day,0.58, 6.47
1509112800, 56.79, rain, clear-day,0.58, 5.34
1509116400, 57.17, rain, clear-day,0.58, 5.62
1509120000, 56.22, rain, clear-day,0.59, 4.41
1509123600, 54.91, rain, clear-night,0.62, 2.24
1509127200, 52.78, rain, clear-night,0.68, 2.82
1509130800, 47.65, rain, clear-night,0.79, 4.1
1509134400, 45.58, rain, clear-night,0.85, 4.25
1509138000, 43.82, rain, clear-night,0.86, 5.22
1509141600, 44.07, rain, clear-night,0.87, 5.73
1509145200, 42.09, rain, clear-night,0.89, 5.88
1509148800, 40.75, rain, clear-night,0.92, 5.66
1509152400, 39.95, rain, clear-night,0.92, 6.79
1509156000, 38.93, rain, clear-night,0.95, 6.83
1509159600, 38.5, rain, clear-night,0.96, 7.07
1509163200, 38.85, rain, clear-night,0.95, 7.91
1509166800, 38.41, rain, clear-night,0.96, 7.3
1509170400, 37.73, rain, clear-night,0.96, 8.63
1509174000, 37.93, rain, clear-day,0.95, 9
1509177600, 37.96, rain, clear-day,0.94, 10.97
1509181200, 41.24, rain, clear-day,0.88, 12.28
1509184800, 50.45, rain, clear-day,0.85, 12.13
1509188400, 55.1, rain, clear-day,0.75, 11.88
1509192000, 56.85, rain, clear-day,0.76, 12.54
1509195600, 58.69, rain, clear-day,0.74, 13.13
1509199200, 59.74, rain, clear-day,0.73, 14.54
1509202800, 59.91, rain, clear-day,0.75, 15.73
1509206400, 60.31, rain, clear-day,0.74, 16.13
1509210000, 59.33, rain, clear-night,0.79, 14.8
1509213600, 57.7, rain, clear-night,0.81, 15.72
1509217200, 56.56, rain, partly-cloudy-night,0.82, 14.74
1509220800, 55.6, rain, partly-cloudy-night,0.84, 14.55
1509224400, 55.61, rain, clear-night,0.83, 15.42
1509228000, 55.73, rain, clear-night,0.84, 16.23
1509231600, 55.85, rain, clear-night,0.84, 15.1
1509235200, 56.79, rain, clear-night,0.81, 15.71
1509238800, 56.88, rain, clear-night,0.83, 15.13
1509242400, 56.96, rain, clear-night,0.83, 14.79
1509246000, 57.7, rain, clear-night,0.81, 15.01
1509249600, 57.87, rain, clear-night,0.8, 13.48
1509253200, 57.99, rain, clear-night,0.82, 12.1
1509256800, 57.78, rain, clear-night,0.83, 11.31
1509260400, 57.51, rain, partly-cloudy-day,0.81, 10.9
1509264000, 56.28, rain, partly-cloudy-day,0.74, 10.97
1509267600, 56.1, rain, partly-cloudy-day,0.7, 10.06
1509271200, 54.76, rain, partly-cloudy-day,0.7, 10.82
1509274800, 55.12, rain, partly-cloudy-day,0.59, 11
1509278400, 54.51, rain, partly-cloudy-day,0.56, 12.13
1509282000, 54.35, rain, clear-day,0.54, 11.59
1509285600, 54.45, rain, clear-day,0.54, 11.23
1509289200, 54.75, rain, clear-day,0.54, 10.12
1509292800, 52.26, rain, clear-day,0.55, 8.85
1509296400, 51.29, rain, clear-night,0.59, 6.54
1509300000, 47.41, rain, clear-night,0.66, 5.72
1509303600, 45.1, rain, clear-night,0.73, 5.87
1509307200, 44.08, rain, clear-night,0.74, 5.77
1509310800, 43.58, rain, clear-night,0.75, 5.73
1509314400, 42.08, rain, clear-night,0.76, 5.29
1509321600, 41.67, rain, clear-night,0.78, 4.53
1509325200, 40.33, rain, clear-night,0.8, 4.91
1509328800, 40.28, rain, clear-night,0.8, 3.66
1509332400, 39.37, rain, clear-night,0.81, 4.43
1509336000, 38.81, rain, clear-night,0.84, 3.34
1509339600, 37.88, rain, clear-night,0.85, 3.78
1509343200, 37.15, rain, clear-night,0.86, 3.41
1509346800, 37.43, rain, clear-day,0.88, 3.28
1509350400, 40.19, rain, clear-day,0.87, 2.8
1509354000, 42.83, rain, clear-day,0.79, 3.12
1509357600, 45.61, rain, clear-day,0.76, 3.67
1509361200, 48.87, rain, clear-day,0.71, 3.24
1509364800, 50.42, rain, clear-day,0.66, 3.55
1509368400, 52.8, rain, clear-day,0.62, 3.67
1509372000, 52.6, rain, partly-cloudy-day,0.56, 1.37
1509375600, 52.52, rain, clear-day,0.58, 1.71
1509379200, 50.44, rain, clear-day,0.61, 1.41
1509382800, 48, rain, clear-night,0.7, 2.02
1509386400, 45.8, rain, clear-night,0.76, 2.19
1509390000, 44.14, rain, clear-night,0.82, 2.21
1509393600, 43.7, rain, clear-night,0.84, 1.94
1509397200, 41.12, rain, clear-night,0.83, 3.59
1509400800, 40.58, rain, clear-night,0.86, 4.48
1509404400, 41.21, rain, clear-night,0.86, 3.98
